case,domain,n_rows,task,method,bytes,reduction_pct,answer_preserved,invariants_preserved,recovered,latency_us
38,incident_ops,50,negative_evidence,Pattern-retention guard,43401,54.50438173508323,1,1,1,68.223
38,incident_ops,50,negative_evidence,Invariant-preserving gate,314,99.67084573776678,1,1,1,73.731
39,incident_ops,50,threshold,Raw,95396,0.0,1,1,0,0.0
39,incident_ops,50,threshold,Fixed projection,9740,89.78992829888045,0,0,0,44.958
39,incident_ops,50,threshold,Head-tail sampling,37710,60.47004067256489,0,0,0,0.521
39,incident_ops,50,threshold,Anomaly sampling,35833,62.43762841209275,1,1,0,56.585
39,incident_ops,50,threshold,Task-aware unverified,181,99.81026458132416,1,1,0,3.045
39,incident_ops,50,threshold,Pattern-retention guard,50865,46.6801543041637,1,1,1,64.888
39,incident_ops,50,threshold,Invariant-preserving gate,35833,62.43762841209275,1,1,0,61.393
40,incident_ops,50,provenance,Raw,95396,0.0,1,1,0,0.0
40,incident_ops,50,provenance,Fixed projection,9740,89.78992829888045,0,0,0,44.687
40,incident_ops,50,provenance,Head-tail sampling,37710,60.47004067256489,0,0,0,0.441
40,incident_ops,50,provenance,Anomaly sampling,35833,62.43762841209275,1,1,0,54.322
40,incident_ops,50,provenance,Task-aware unverified,469,99.50836513061344,1,1,0,4.216
40,incident_ops,50,provenance,Pattern-retention guard,35831,62.43972493605602,1,1,0,61.893
40,incident_ops,50,provenance,Invariant-preserving gate,35833,62.43762841209275,1,1,0,63.836
41,incident_ops,100,lookup,Raw,189274,0.0,1,1,0,0.0
41,incident_ops,100,lookup,Fixed projection,19257,89.82586092120418,0,0,0,92.92
41,incident_ops,100,lookup,Head-tail sampling,37690,80.0870695393979,0,0,0,0.471
41,incident_ops,100,lookup,Anomaly sampling,48991,74.11636040871963,0,0,0,97.757
41,incident_ops,100,lookup,Task-aware unverified,443,99.76594777940974,1,1,0,4.467
41,incident_ops,100,lookup,Pattern-retention guard,50885,73.11569470714414,1,1,1,114.111
41,incident_ops,100,lookup,Invariant-preserving gate,439,99.76806111774465,1,1,1,100.511
42,incident_ops,100,rare_event,Raw,189274,0.0,1,1,0,0.0
42,incident_ops,100,rare_event,Fixed projection,19257,89.82586092120418,1,1,0,90.516
42,incident_ops,100,rare_event,Head-tail sampling,37690,80.0870695393979,0,0,0,0.521
42,incident_ops,100,rare_event,Anomaly sampling,48991,74.11636040871963,1,1,0,92.77
42,incident_ops,100,rare_event,Task-aware unverified,435,99.77017445607954,1,1,0,6.33
42,incident_ops,100,rare_event,Pattern-retention guard,48989,74.11741707788708,1,1,0,114.322
42,incident_ops,100,rare_event,Invariant-preserving gate,48991,74.11636040871963,1,1,0,103.626
43,incident_ops,100,latest_state,Raw,189274,0.0,1,1,0,0.0
43,incident_ops,100,latest_state,Fixed projection,19257,89.82586092120418,1,1,0,92.278
43,incident_ops,100,latest_state,Head-tail sampling,37690,80.0870695393979,0,0,0,0.511
43,incident_ops,100,latest_state,Anomaly sampling,48991,74.11636040871963,0,0,0,102.834
43,incident_ops,100,latest_state,Task-aware unverified,169,99.91071145535044,0,0,0,4.888
43,incident_ops,100,latest_state,Pattern-retention guard,62151,67.16347728689624,1,1,1,120.491
43,incident_ops,100,latest_state,Invariant-preserving gate,914,99.51710219047519,1,1,1,109.615
44,incident_ops,100,aggregation,Raw,189274,0.0,1,1,0,0.0
44,incident_ops,100,aggregation,Fixed projection,19257,89.82586092120418,0,0,0,91.217
44,incident_ops,100,aggregation,Head-tail sampling,37690,80.0870695393979,0,0,0,0.451
44,incident_ops,100,aggregation,Anomaly sampling,48991,74.11636040871963,0,0,0,90.646
44,incident_ops,100,aggregation,Task-aware unverified,799,99.57786066760357,1,1,0,16.044
44,incident_ops,100,aggregation,Pattern-retention guard,75469,60.127117300844276,1,1,1,106.149
44,incident_ops,100,aggregation,Invariant-preserving gate,795,99.57997400593848,1,1,1,121.633
45,incident_ops,100,join,Raw,189274,0.0,1,1,0,0.0
45,incident_ops,100,join,Fixed projection,19257,89.82586092120418,0,0,0,92.029
45,incident_ops,100,join,Head-tail sampling,37690,80.0870695393979,0,0,0,0.461
45,incident_ops,100,join,Anomaly sampling,48991,74.11636040871963,0,0,0,104.056
45,incident_ops,100,join,Task-aware unverified,1090,99.42411530373955,1,1,0,12.178
45,incident_ops,100,join,Pattern-retention guard,62204,67.13547555395881,1,1,1,102.083
45,incident_ops,100,join,Invariant-preserving gate,1086,99.42622864207445,1,1,1,128.132
46,incident_ops,100,negative_evidence,Raw,189274,0.0,1,1,0,0.0
46,incident_ops,100,negative_evidence,Fixed projection,19257,89.82586092120418,1,1,0,92.459
46,incident_ops,100,negative_evidence,Head-tail sampling,37690,80.0870695393979,1,1,0,0.511
46,incident_ops,100,negative_evidence,Anomaly sampling,48991,74.11636040871963,1,1,0,88.674
